timestamp,K2S1_mX,K2S1_mS,K2S1_mCO2,K2S1_mO2,K2S1_cX,K2S1_cS,K2S1_rX,K2S1_rS,K2S1_rCO2,K2S1_rO2,K2S1_h
7.001098554444445,15.0,0.0,0.0,0.0,10.257106810169562,0.0,-0.8080983981491118,-0.0,0.729281403629816,-1.003383761988618,0
7.002487444722222,14.998990051968416,0.0048284118827341665,0.0020315169667707886,-0.0028020745724434146,10.256234101185518,0.0033016438063287147,-0.6484134429597299,-0.19592899788392465,0.73340472162684,-1.0141002113458826,0
7.003876349444445,14.998192817215495,0.00939467512524814,0.004074854436601766,-0.005634521658982966,10.255487045566424,0.006423905214346672,-0.5015541510229937,-0.37730856139396196,0.737771834296548,-1.0252223819118205,0
7.005265228333333,14.997591628886829,0.01371713436088948,0.00613027126603415,-0.008497788423378052,10.25487917968135,0.00937934296673592,-0.3659281107234866,-0.5456119502231986,0.7421389322336667,-1.0363445162850824,0
7.006654118611111,14.997171727568197,0.017816557385806165,0.008197836059362524,-0.011391973996887888,10.254400407084418,0.012182171187252136,-0.24030208162019326,-0.7022750054496927,0.7465061324577433,-1.0474669124908988,0
7.008043004722223,14.996920022645023,0.02171485563913263,0.010277582526746192,-0.014317100722909086,10.254034976751441,0.01484737458775236,-0.12350706285961667,-0.8486583934085097,0.7508733860382194,-1.058589445912454,0
7.009431891666667,14.996824898560234,0.025426635279230003,0.01236951102637381,-0.0172731725995823,10.253775109247053,0.017384946593802124,-0.014692834933792627,-0.9857518552261278,0.7552407086785167,-1.0697121565428953,0
7.010820788055556,14.996875325803803,0.02896128494782861,0.014474617814302655,-0.02026114817687606,10.25359632001877,0.019801279820811882,0.08613774234541019,-1.114281937572453,0.7604228569963805,-1.0816135784118728,0
7.012209677777777,14.997060647463254,0.03232777515381629,0.016595006009222184,-0.023283073604858293,10.253491571720382,0.0221025024745896,0.17967816440619344,-1.2349083941622954,0.7662210129329385,-1.0941363630201066,0
7.013598561111111,14.997371427262577,0.03553151974735215,0.018731431457842156,-0.02633970828067683,10.253465545937395,0.024292337846750778,0.26685296639199463,-1.3481214484806048,0.7720174564648867,-1.1066554567631284,0
7.014987451666667,14.997799170327296,0.03858069925440835,0.02088397027116454,-0.029431132937999545,10.253512753000228,0.02637638278337538,0.34813509630830614,-1.4544717547922739,0.7778122448906247,-1.1191709833911863,0
7.0163763391666665,14.998336067402553,0.04148877163598286,0.023052564573609574,-0.03255728185206957,10.25361274053982,0.028363799525778624,0.42412052605840694,-1.554652972284164,0.783605335815537,-1.131682851338612,0
7.017765222777778,14.99897523880529,0.04427057870184852,0.025236995586181126,-0.035717956038340486,10.253761515486666,0.030264731352239744,0.4954127531810537,-1.6493676002377404,0.7893967262705713,-1.144191054190594,0
7.0191541172222225,14.999709912919501,0.04693411605822929,0.027438960059947712,-0.03891466009285976,10.253955149694441,0.03208464189278215,0.5618119048470395,-1.7390517729766664,0.7959873578318736,-1.15740897606491,0
7.020543007500001,15.000533725609372,0.04948459842816111,0.02965993210264703,-0.04214867213957583,10.254189986325926,0.03382709461951468,0.6238195339088566,-1.8240262046713325,0.8030804151796179,-1.1710559537725527,0
7.021931895,15.001440948018246,0.051925476858238825,0.03190059755001361,-0.045420587382497234,10.254471361370472,0.03549447797804094,0.6819954425534012,-1.9045379890985874,0.8101721934297115,-1.1847004698141996,0
7.023320785,15.002426502717661,0.0542571217009131,0.03416062002122521,-0.048730056388785754,10.254796252125553,0.03708704909628143,0.7364532616597886,-1.9807194483252482,0.817262719909463,-1.198342576767547,0
7.024709673888889,15.003485483329527,0.056481871226227366,0.0364396085137398,-0.05207667005709526,10.255175454004767,0.03860646248093838,0.7873557345193642,-2.052759992180264,0.8243519765595984,-1.2119822398869295,0
7.026098564722222,15.004612843098387,0.05861205781587452,0.03873892412724496,-0.055461823272758635,10.255605585368222,0.04006115677838996,0.8351287883483935,-2.1211554528639063,0.8314399793531744,-1.2256194899045614,0
7.027487455000001,15.005803935649693,0.060657645351854146,0.04105974012382955,-0.05888671603354407,10.256097239775086,0.04145800596437504,0.8795319782128495,-2.186309408001334,0.8392499387696616,-1.2399833605681299,0
7.028876345555556,15.007054550364039,0.06262548315898327,0.04340293099817013,-0.06235224427537236,10.256647229778633,0.04280170277255057,0.9209294167903422,-2.2485097938349012,0.8476075318866413,-1.2549288795847968,0
7.030265228888889,15.008360901897468,0.06451928944280277,0.04576905277048649,-0.0658589707264499,10.25725607921316,0.044094813430294956,0.9599496235681211,-2.307936701281658,0.8559613921536378,-1.2698677361890343,0
7.031654105555556,15.009719644965458,0.0663396745615784,0.048158370622531935,-0.06940716577765832,10.257921087881744,0.045337765311071754,0.9966580272225276,-2.3646663006651814,0.8643115241306494,-1.2847999385310342,0
7.03304301,15.01112786238356,0.06808419078696917,0.05057089140909468,-0.07299694476781077,10.258632983546137,0.046528863898061934,1.0310344834175305,-2.4186754918195073,0.8726581359813217,-1.299725858857647,0
7.0344318875,15.012581351429306,0.06975212467148505,0.05300642637704278,-0.07663026577019491,10.259388653670062,0.0476676288822163,1.0631050750822,-2.469994087369408,0.881000900011652,-1.314644911162411,0
7.035820783888889,15.014077677469365,0.07135151163274252,0.05546729554188947,-0.08030582065260863,10.260175895545448,0.048759509274657484,1.0929709980085476,-2.5189130284793357,0.890901432902752,-1.3297417818821122,0
7.037209666666667,15.015615145045448,0.07288976408417963,0.05795566922145069,-0.0840211412759415,10.260993569185953,0.049809574453167346,1.1210423402986847,-2.5656978715797174,0.9011293252950511,-1.3447905410615881,0
